Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
JPM,31/12/2023,38611,14655,,9307,3875393,300474,3.04,71118,,,,24.1,16.89,1.31,,199.18,,-2.924020717,11.763684256230643,-14.84593838,-15.45239826,,15.170157634981829,
JPM,31/03/2024,41934,18176,,13419,4090727,306737,4.44,-129149,,,,32,16.66,1.29,,228.08,,8.606355701743018,10.323599052880827,8.292682926829297,6.314371731896684,,15.224233262834463,
JPM,30/06/2024,42091,16880,,18149,4143003,316652,6.12,6248,,,,43.12,17.35,1.35,,247.29,,0.37439786330901725,9.058168156,28.84210526315789,25.407683803206194,,15.236931445172239,
JPM,30/09/2024,42654,17379,,12898,4210048,324186,4.37,-44603,,,,30.24,16.96,1.33,,245.82,,1.337578104582926,7.240911147986129,0.9237875288683695,-1.923808075,,15.252984607018746,
JPM,31/12/2024,42768,17773,,14005,4002814,324708,4.81,128791,,,,32.75,18.19,1.48,,217.88,,0.2672668448445714,10.766361917588263,58.22368421052631,50.478134737294496,,15.202508171744036,
JPM,31/03/2025,44722,18264,,14643,4357856,331375,5.07,-166810,,,,32.74,18.25,1.41,,286.05,,4.568836513280949,6.648542948442793,14.18918918918919,9.121395036888003,,15.287490751260652,
JPM,30/06/2025,44872,18362,,14987,4552482,336879,5.24,97980,,,,33.4,16.88,1.3,,302.71,,0.33540539331873287,6.60711316,-14.37908497,-17.42244752,,15.331183136704585,
JPM,30/09/2025,46427,18919,,14393,4560205,340167,5.07,-59122,,,,31,17.06,1.32,,295.42,,3.465412729541817,8.845594785952082,16.01830664,11.590944332454644,,15.332878136620423,
JPM,31/12/2025,45798,17546,,13025,4424900,342393,4.63,133338,,,,28.44,16.69,1.35,,260.01,,-1.354815086,7.084736251402912,-3.742203742,-6.997500893,,15.302758237298752,
META,31/12/2021,33671,12585,14599,10285,165987,124879,3.66,18104,5369,81.15,37.38,30.55,31.1,24.21,3.15,0.47,935644.81,,,,,,12.019664751019025,12735
META,31/03/2022,27908,8524,10684,7465,164218,123228,2.72,14076,5315,78.48,30.54,26.75,29.07,22.79,2.81,0.49,605251.01,-17.11561878,,,,-35.31188294,12.00895009240406,8761
META,30/06/2022,28822,8358,10341,6687,169779,125767,2.46,12196,7528,81.99,29,23.2,25.48,19.76,2.52,0.49,436394.65,3.2750465816253405,,,,-27.89856724,12.04225287029935,4668
META,30/09/2022,27714,5664,7839,4395,178894,124094,1.64,9692,9355,79.38,20.44,15.86,22.4,16.55,2.57,8.46,364646.58,-3.844285615,,,,-16.44109752,12.094548730644842,337
META,31/12/2022,32165,11010,13387,5014,185727,125713,1.65,14511,8988,78.73,34.23,15.59,18.8,13.4,2.2,8.44,315555.19,16.060474850256192,-4.472691634,-54.91803279,-51.24939232,-13.4627315,12.132033132571529,5523
META,31/03/2023,28645,8371,10898,5709,184491,124795,2.2,13998,6823,78.29,29.22,19.93,17.58,12.51,2.07,8.5,543886.69,-10.94357221,2.640819836606001,-19.11764706,-23.52310784,72.35865777,12.125355960785107,7175
META,30/06/2023,31999,10172,12797,7788,206688,134033,2.98,17309,6134,81.29,31.79,24.34,17.63,12.17,2.32,14.28,735452.84,11.70884971199162,11.022829782804799,21.138211382113823,16.464782413638403,35.221702152703905,12.238965688832199,11175
META,30/09/2023,34146,14128,16990,11583,216274,142873,4.39,20402,6496,81.85,41.38,33.92,22.55,15.23,2.57,13.33,772488.78,6.709584674521074,23.20848668542974,167.6829268292683,163.5494880546075,5.035800799953405,12.284301401294966,13906
META,31/12/2023,40111,17533,20711,14592,229623,153168,5.51,19404,7592,81.05,43.71,36.38,28.45,19.1,2.67,12.45,909628.61,17.469103262461203,24.70387066687394,233.93939393939394,191.02512963701636,17.75298665179317,12.344194112626475,11812
META,31/03/2024,36455,14064,17438,12369,222844,149529,4.71,19246,6400,81.84,38.58,33.93,33.78,22.75,2.68,12.3,1237940.13,-9.114706689,27.26479315761914,114.09090909090907,116.6579086,36.09291928493761,12.314227254072376,12846
META,30/06/2024,39071,14888,18525,14183,230238,156763,5.43,19370,8173,81.3,38.1,36.3,36.26,24.14,2.83,11.73,1278971.27,7.175970374434226,22.10069064658271,82.21476510067114,82.11350796096559,3.314468850767449,12.346868835495558,11197
META,30/09/2024,40589,17358,21385,15688,256408,164529,6.03,24724,8258,81.83,42.77,38.65,36.98,24.05,2.73,17.52,1448168.3,3.8852345729569304,18.86897440402975,37.357630979498865,35.43986877320211,13.229150174733784,12.454525204789952,16466
META,31/12/2024,48385,23458,27918,20838,276054,182637,7.98,27988,14425,81.75,48.48,43.07,37.57,24.95,2.98,15.78,1478113.28,19.207174357584567,20.627757971628725,44.82758620689658,42.804276315789465,2.067783143713342,12.528351777735809,13563
META,31/03/2025,42314,17555,21455,17362,280213,185029,6.7,24026,12941,82.11,41.49,41.03,40.69,27.06,2.66,15.58,1460299.85,-12.54727705,16.07186943,42.250530785562646,40.36704664888027,-1.205146469,12.543305307240644,11085
META,30/06/2025,47516,20441,24783,18337,294744,195070,7.14,25561,16538,82.13,43.02,38.59,40.65,27.24,1.97,14.78,1855799.8,12.293803469300935,21.614496685521225,31.491712707182316,29.28858492561517,27.08347536,12.593862461958329,9023
META,30/09/2025,51242,20535,25502,18639,303844,194066,7.25,29999,18829,82.03,40.07,36.37,41.53,26.58,1.98,14.86,1844866.46,7.841569155652839,26.246027248761973,20.232172470978437,18.810555838857734,-0.589144368,12.624269690783049,11170
META,31/12/2025,59893,24745,30156,20868,366021,217243,8.15,36214,21383,81.79,41.32,34.84,37.26,23.2,2.6,27.59,1663775.06,16.882635338199137,23.784230649994843,2.130325814536338,0.14396775122371697,-9.815962506,12.810445987786684,14831
NVDA,30/01/2022,7643,3616,3925,3003,44187,26612,0.12,3033,273,73.86,47.31,39.29,44.83,26.73,6.65,41.13,571000,,,,,,10.696185907157652,2760
NVDA,01/05/2022,8288,3377,3711,1618,45212,26320,0.06,1731,361,65.53,40.75,19.52,41.95,24.89,5.32,41.59,464419.54,8.439094596362695,,,,-18.66557968,10.719117817310622,1370
NVDA,31/07/2022,6704,674,1052,656,43476,23851,0.03,1270,433,43.48,10.05,9.79,34.41,18.85,3.62,45.91,454075,-19.11196911,,,,-2.22741274,10.679964340683078,837
NVDA,30/10/2022,5931,791,1197,680,40488,21349,0.03,392,530,53.57,13.34,11.47,26.39,14.69,3.39,51.29,344466.6,-11.53042959,,,,-24.13883169,10.608760912893914,-138
NVDA,29/01/2023,6051,1485,1911,1414,41182,22101,0.06,2248,509,63.34,24.54,23.37,17.93,10.23,3.52,49.56,500979,2.0232675771370667,-20.82951721,-50,-52.91375291,45.43616129981834,10.625756546668091,1739
NVDA,30/04/2023,7192,2321,2705,2043,44460,24520,0.08,2911,248,67.14,32.27,28.41,18.86,10.69,3.43,44.67,686268.65,18.856387373987758,-13.22393822,33.33333333333335,26.26699629171818,36.98551236678584,10.702345187518187,2663
NVDA,30/07/2023,13507,6939,7304,6188,49555,27501,0.25,6348,289,71.08,51.37,45.81,40.22,22.2,2.79,35.29,1154725,87.80589544,101.47673031026252,733.3333333333334,843.2926829268293,68.26136528,10.810838442840808,6059
NVDA,29/10/2023,18120,10578,10950,9243,54148,33265,0.37,7332,278,74.84,58.38,51.01,69.17,39.92,3.59,29.18,1000350,34.15266158288295,205.5134041476985,1133.3333333333335,1259.264705882353,-13.36898396,10.899476317305677,7054
NVDA,28/01/2024,22103,13755,14142,12285,65728,42978,0.49,11499,254,76.6,62.23,55.58,91.46,55.67,4.17,22.59,1507465.7,21.981236203090514,265.27846636919514,716.6666666666666,768.8118811881187,50.69382716049382,11.09328029328823,11245
NVDA,28/04/2024,26044,17049,17459,14881,77072,49142,0.6,15345,369,78.89,65.46,57.14,115.66,70.1,3.53,19.76,2193375,17.830158801972583,262.1245828698554,650,628.3896231032795,45.50082300380036,11.252495328870001,14976
NVDA,28/07/2024,30040,18786,19219,16599,85227,58157,0.67,14488,977,75.63,62.54,55.26,123.77,78.66,4.27,14.55,2781276,15.343265243434189,122.40319834160064,168.00000000000003,168.2449903038138,26.80348777568815,11.353073564023212,13511
NVDA,27/10/2024,35082,22024,22502,19309,96013,65899,0.78,17627,813,75,62.78,55.04,127.21,84.01,4.1,12.84,3471976.2,16.784287616511318,93.60927152317882,110.81081081081084,108.90403548631396,24.83393234,11.47223887794863,16814
NVDA,26/01/2025,39331,24195,24738,22091,111601,79327,0.89,16629,1077,73.44,61.52,56.17,119.18,82.2,4.44,10.67,3492763.8,12.111624194743742,77.94417047,81.63265306122449,79.82091982091981,0.5987253023220562,11.622685289462678,15552
NVDA,27/04/2025,44062,21798,22409,18775,125254,83843,0.76,27414,1227,60.89,49.47,42.61,115.46,75.89,3.39,10.1,2714934.78,12.028679667437903,69.18292121025955,26.666666666666682,26.167596263691962,-22.26972863,11.738098954564908,26187
NVDA,27/07/2025,46743,28541,29210,26422,140740,100131,1.08,15365,1895,72.64,61.06,56.53,109.42,76.65,4.21,8.45,4233400,6.084608052289964,55.60252996005326,61.19402985074627,59.17826375082835,55.930080942865246,11.85466949552054,13470
NVDA,26/10/2025,57006,36097,36848,31910,161148,118897,1.3,23751,1636,73.56,63.32,55.98,107.36,77.15,4.47,7.12,4526118,21.95622874013221,62.49358645459211,66.66666666666667,65.25972344502564,6.914489535597856,11.990078476369176,22115
NVDA,25/01/2026,68127,44475,45287,42960,206803,157293,1.76,36188,1284,75.26,65.28,63.06,101.49,75.42,3.91,5.38,4560381,19.50847279233765,73.21451272533118,97.75280898876404,94.46833552,0.7570063352303258,12.239521928281015,34904
